,label,precision,recall,f1
0,0,0.5513698630136986,0.42649006622516555,0.4809559372666169
1,1,0.6866666666666666,0.8340080971659919,0.753199268738574
2,2,0.4647887323943662,0.3350253807106599,0.3893805309734514
3,3,0.42528735632183906,0.21264367816091953,0.2835249042145594
4,4,0.5294117647058824,0.052941176470588235,0.0962566844919786
5,5,0.2916666666666667,0.02702702702702703,0.04946996466431096
6,6,0.8757763975155279,0.88125,0.8785046728971962
7,7,0.6374269005847953,0.44308943089430897,0.5227817745803357
8,8,0.7183673469387755,0.7586206896551724,0.7379454926624738
9,9,0.6742857142857143,0.36419753086419754,0.47294589178356716
10,10,0.5308641975308642,0.7678571428571429,0.6277372262773723
11,11,0.6,0.30337078651685395,0.4029850746268657
12,12,0.47863247863247865,0.3971631205673759,0.43410852713178294
13,13,0.47324530924252955,0.8480697384806973,0.6074933095450491
